Title, Alternate Title, Year, MOvie or TV, qedcat page, IMDB number, Math stars, Comments
"""How Green Was My Valley""",,1941,MO,,0033729,3,"""Huw and his father and tutor are puzzling over a word problem.'Now then. The bathtub holds 100 gallons. A fills it at 20 gallons a minute, and B at the rate of 10 gallons a minute... Now then, C is a hole that empties it at 5 gallons a minute. How long, um, to fill the tub?'Huw's mothers just laughs: 'Who would pour water into a bathtub full of holes?' <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""How to Lose a Guy in 10 Days""",,2003,MO,,0251127,1,"""At the basketball game, the scoreboard indicates the Knicks have a score of 93, but the player totals add to 94."""
"""The Hudsucker Proxy""",,1994,MO,hudsucker.html,0110074,2,"""The circle is used throughout as a symbol of elegance and simplicity. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""I Killed Einstein, Gentlemen""","""Zabil Jsem Einsteina, Panove""",1970,MO,,0065235,2,"""Crazy sci-fi movie with people going backin time to kill Einstein. Some Lorentz equations and a little weird quizzing witharithmetic. 'At first we calculated that Mequals rho 2P over 2, R over 3...' 'But it seemed that theuniverse was crooked.'"""
"""I Not Stupid""","""Xiaohai Bu Ben""",2002,MO,,0307681,1,"""Some students in a dead end class are inspiredby their teacher: '... I hated maths. But the more I hated it the worse it got.  Then Idecided to spend time to know it better, and to be friends with  it..."""
"""I Walked With a Zombie""",,1943,MO,,0036027,1,"""A woman and a man are sitting in a cafe. Man to waiter: 'Better bring me another, I have to keep the lady entertained.' 'Must be hard work entertaining me that requires six ounces of rum.' 'Six ounces?' 'Higher mathematics. Two ounces to a drink, three drinks, six ounces.'"""
"""I Went Down""",,1997,MO,,0126344,3,"""A kidnap victim is strapped to a bed. When he drops the TV remote, he is forced to watch some  program about the fundamental theorem of algebra, presented by stereotypically boring mathematicians."""
"""I.Q.""",,1994,MO,iq.html,0110099,4,"""Meg Ryan and Tim Robbins give a romantic resolution to Zeno's paradox. Also, there's   mathematical sign language, puzzles, Albert Einstein and the logician Kurt G&ouml;del. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""I'm Gonna Git You Sucka""",,1988,MO,,0095348,2,"""Chris Rock  has a funny bit, where he'stold a serving of five ribs cost $2.50, and he figures he can order one rib for 50 cents."""
"""Ice Princess""",,2005,MO,,0396652,3,"""Michelle Trachtenberg plays a physics wiz whoanalyzes ice skating as an honours project, helpingher fellow skaters. Lots of brief references to centripetalacceleration, angular momentum and the like."""
"""The Ice Storm""",,1997,MO,ice_storm.html,0119349,3,"""A kid explains, with some reason, that he's notgood at maths, just good at geometry: 'It's like, you know when they say 'two squared'?You think it means 2 times 2 equals 4. But really, they really mean a square.  It's really space, it's not numbers it's space. And it's perfect space, but only in your head, because you can't draw a perfect square in the material world. But in your mind, you can have perfect space. You know?' <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page.</a>"""
"""Idiocracy""",,2006,MO,,0387808,3,"""An average Joe from today wakes up in the future and finds himself the most intelligent man on Earth. He is forced to take an IQ test: 'If you have one bucket that holds 2 gallons, and another bucket that holds 5 gallons, how many buckets do you have?' <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Imperativ""",,1982,MO,imperativ.html,0084123,4,"""Dark movie about a suicidal maths professor. He specializes in probability theory, and one of his students works out a system to win at roulette."""
"""In July""",,2000,MO,,0177858,3,"""Daniel is a shy fellow training to be a maths teacher. He gives a painful lessonon projectile motion. Later he tries it with a real car, to cross a 25 meter riverat a 10 degree incline. He correctly calculates the necessaryspeed to be about 96 kilometers per hour, but seemingly underestimated the width of theriver. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""The Infinite Worlds of H. G. Wells""",,2001,TV,infinite_worlds.html,0280770,4,"""The Pyecraft episode in this miniseries is a fun fantasy about a gentle mathematician."""
"""Infinity""",,1996,MO,infinity.html,0116635,4,"""Movie about Richard Feynman featuring the M&ouml;bius strip, an abacus, and an explanation of infinity. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""An Innocent Love""",,1982,TV,innocent_love.html,0084138,2,"""A young boy tutors a school senior  in calculus (differentiating polynomials)."""
"""Insignificance""",,1985,MO,insignificance.html,0089343,3,"""Albert Einstein and Marilyn Monroe have an exchange of ideas. Marilyn demonstrates the Theory of Relativity using toy trains and flash lights. Albert explains (not quite correctly) the shape of the universe as a 3-dimensional sphere."""
"""Inspector Lewis""",,2006,TV,,0469870,4,"""The Goldbach Conjecture and a Fields medalist are at the center of a murder mystery."""
"""In the Navy""",,1941,MO,in_the_navy.html,0033754,5,"""Just one scene: the famous and hilarious routine in which Costello proves 7x13=28 in three different ways."""
"""Intacto""",,2001,MO,,0220580,1,"""Weird gambling movie, with people stealing others' luck. A little probability and arithmetic. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""The Intruder""",,1999,MO,,0187995,3,"""It appears that a murdered woman is comingback to kill people. Charlie the mathematician thinks the explanationis some quantum mechanicalthing about time looping back on itself. His theory is illustratedwith an impressive blackboard of cylindersand cones."""
"""The Invisible Boy""",,1957,MO,,0050546,2,"""Dr. Merrinoe worksat the Stoneman Institute of Mathematics. When he's not playing with a supercomputer,he's asking his son Timmie painful questions on fractions: 'how many twenty-fourthsare there in one and a quarter?' 'Three? Seventeen. Forty-four? A hundred?'"""
"""An Invisible Sign""",,2010,MO,,1212454,2,"""Any movie with Jessica Alba as a maths nut can't be all bad, those this is pretty close. She plays a loner, who uses numbers as a crutch, and as a symbol of not being part of the world. A few classroom scenes, with simple arithmetic and Fibonacci numbers."""
"""Iron Man 2""",,2010,MO,,1228705,1,"""Tony Stark ponders his father's equations while redesigning his iron suit. There's also a picture of a tesseract."""
"""Ishtar""",,1987,MO,,0093278,2,"""Dustin Hoffman and Warren Beatty areoffered a gig in Honduras.'How much?' '150 Lempiras a week. That's 75 dollarsin American money ...'. 'That's only 37.50 a week for each of us!' 'Heyyyy, that's right!You got a good head for figures'."""
"""The Island""",,2005,MO,,0399201,2,"""In a futuristic world, the immigrants to the paradise Island are determined by a supposedly random lottery. Jones Three Echo correctly suspects otherwise. He unsuccessfully tries to figure out the formula underlying the lottery. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page.</a>"""
"""It's a Big Country""",,1951,MO,,0043680,2,"""The teacher asks Joseph  to divide 8 into 240 , but he can't because 'the numbers are too small'. It turns out he needs glasses."""
"""It's a Mad Mad Mad Mad World""",,1963,MO,,0057193,3,"""8 people in 4 groups with 5 leaders try to decide the fair way to divide the $350 000 they're hunting for. They decide to create 25 shares  of $14 000 each, which keeps everyone happy for about two minutes.<a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page.</a>"""
"""It's My Turn""",,1980,MO,its_my_turn.html,0080936,5,"""Light romantic movie about a female mathematician. Famous among mathematicians because the full proof of the Snake Lemma is given in the first scene. Tons of mathematics and mathspotting on blackboards."""
"""Izo""",,2004,MO,,0377079,3,"""An angry samurai ghost charges around on a M&ouml;bius strip."""
"""Jam Films 2 &minus; Armchair Theory""",,2004,MO,,0995726,4,"""In a fantasy sequence we see one Japanese warrior shoot an arrow at another warrior who is running away, illustrating one of Zeno's paradoxes: When the arrow has reached the point at which the second warrior was when the arrow was fired he has already moved to a second point. When the arrow reaches that point he has moved to a third point, etc."""
"""Jan Amos Comenius""","""Putov&aacute;n&iacute; Jana Amose""",1983,MO,,0082578,2,"""Ren&eacute; Descartes makes a very brief appearance. No speaking lines."""
"""Jane Eyre""",,2006,MO,,0780362,1,"""A couple little maths bits when Jane Eyre is acting as governess. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page.</a>"""
"""Jason X""",,2001,MO,,0211443,2,"""A cute android named Kay-Em calculates the probability of the team'ssurvival at 12%.After Tsunaron kisses her, she calculates the odds at 53%. He suggests they tryfor 100%."""
"""Jimtown Speakeasy""",,1928,MO,,,4,"""A very early and very  obscure short, with Flournoy Miller and Aubrey Lyles performing the earliest filmed version of Abbott and Costello's (?)  7 x 13 routine. Miller and Lyles perform it in the form 3 x 17 = 24. It is probable that they invented and performed the routine much earlier, as part of their vaudeville shows. It is sometimes claimed that they performed the  routine (in 7 x 13 form) in the 1921 Broadway musical <i>Shuffle Along</i>, though we haven't been able to confirm this."""
"""Joe Dirt 2: Beautiful Loser""",,2015,MO,,4126340,1,"""A 1-liner about 7 x 7 = 77."""
"""Julie Johnson""",,2001,MO,,0239509,4,"""Julie Johnson is a downtrodden white trash housewife who turns out to be a mathematical genius. Tedious and humorless, but lots of maths, mostly chaos theory. Mischa Baton plays the daughter. She has the Cantor Setexplained to her, and is less than impressed.<a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page.</a>"""
"""Jurassic Park""",,1993,MO,jurassik_park.html,0107290,3,"""Jeff Goldblum as a cool mathematician. He impresses a woman with an explanation of chaos theory by conducting a little experiment on her hand that illustrates the butterfly effect. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clips on Oliver Knill's page.</a>"""
"""Jurassic Park 2""","""The Lost World""",1997,MO,,0119567,2,"""Jeff Goldblum is back as the cool mathematician. No maths this time."""
"""Jurassic Park III""",,2001,MO,,0163025,1,"""Jeff Goldblum does not appear this time, but he and his book on chaos theory are made fun of."""
"""The Karate Kid, Part II""",,1986,MO,,0091326,2,"""The karate kid discovers that a market stall is using a disguised light weightwith their scales,supposedly in order to cheat the farmers of their produce. In fact, using such a weight would benefit the farmers."""
"""The Keeper: The Legend of Omar Khayyam""",,2005,MO,,0294806,4,"""Movie about the life of the mathematician Omar  Khayyam and one of his descendents. More romance than maths, but there are some good scenes."""
"""The King's Thief""",,1955,MO,,0048259,2,"""Sir Isaac Newton makes a brief appearance, to demonstrate his new telescope."""
"""Kelly's Heroes""",,1970,MO,kellys.html,065938,2,"""A soldier is praisedfor calculating (incorrectly) in his head: 125 boxes at $8400 a box = $10 500 000."""
"""Kes""",,1969,MO,kes.html,0064541,1,"""Some simple maths in a classroom setting."""
"""The Knack ... and How to Get It""",,1965,MO,,0059362,1,"""Michael Crawford as a girl-shy mathematics teacher in swinging London. One classroom scene, with the studentsreciting the laws of reflection and refraction. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Knocked Up""",,2007,MO,kes.html,0478311,2,"""10 years ago Ben got $14000, and he has $900 left. 'So that should last me for like ... I mean I'm not a mathematician, but like another 2 years, or some shit, I think.' He's outby 16 months."""
"""Knowing""",,2009,MO,,0050610,1,"""Painful apocalypse movie, with  a few equations and numerology and the like."""
"""Kronos""",,1957,MO,,0050610,1,"""Silly sci-fi movie with a bit of nonsensical mathtalk."""
"""Kuriton Sukupolvi""",,1957,MO,,0050614,2,"""A maths professor arises from his years of work into the era of rock and roll.No maths."""
"""L: Change the World""",,2008,MO,,0912597,3,"""L tries to save the world from terrorists with a killer virus. A little boy, a survivorof the virus, turns out to be a mathematical genius. He is discovered drawing magicsquares on a wall, and supposedly arranges Fibonacci numbers with marshmallows (thoughthe pattern is unclear). Later he solves a complicated geometry problem, the key to a critical code."""
"""Labyrinth""",,1986,MO,labyrinth.html,0091369,3,"""Fun fantasy version of the Liar Puzzle in action: deciding which of two doors to choose when one is guarded by a truthteller and one by a liar. Plus, the musician David Bowie as the king of the goblins running around a maze inspired by Escher's drawing <i>Relativity</i>."""
"""Lambada""",,1990,MO,lambada.html,0099969,5,"""<i>Stand and Deliver</i> with dirty dancing. Blade is a supercool maths teacher who inspires his students. Most memorable cheesy scene: Blade demonstrates the usefulness of maths by making a near impossible three-cushion (pool)  shot using 'the rectangular coordinate system' and a protractor."""
"""The Land of College Prophets""",,2005,MO,,0451097,1,"""Rye is a philosophizing thug who is apparently good atmathematics. He helps his professor friend, something about stopping rabbits from exploding.Don't ask us."""
"""Las Vegas Shakedown""",,1955,MO,las_vegas.html,0048285,2,"""A maths teacher travels to Las Vegas to do research for her book, which is supposed to show that the casinos always win (well, duh). Some humorous lines about a companion's gambling system."""
"""Las Vegas Weekend""",,1986,MO,,0091381,3,"""Crazy B-grade comedy about a mathematician with a scheme to beat blackjack. Some weird and humorous lines about infinity and probability."""
"""The Last Casino""",,2004,MO,,0419909,2,"""Same plot as <i>21</i>, and a much better movie: A mathprofessor organizers some students into a blackjack team. It includes a very funny scene, where the professor tests a waitress's memory by ordering a complicated pizza with mutliple toppings, substitutions and a rotation. (She gets it right). One of the students memorizesdigits of &pi; for fun."""
"""The Last Enemy""",,2008,MO,,0966151,3,"""Dr. Stephen Izard is the mathematician heroof this brave new worldish miniseries. The only maths is in the first episode, where Stephen explains his research to Andrew and Brian, owners of the company Inquirendo:'... let Ric be the Ricci curvature, and the gammas are the Christoffel symbols.The idea is to show that under the Ricci flow, positive curvature tends to spreadoutwards, uh, until at infinite time, the manifold will achieve constant curvature.Now let us consider a generalization of this, the form F is a nice, smooth function. Evenin this state the flow will develop singularities in finite time. But, by using alocal version of the Gromov compactness theorem, I've been able to get a model of all possible singularities ...' This is actually real mathematics, underlying Perelman'sproof of the Poincar&eacute; conjecture. Andrew tries to explain the importanceof Stephen's reasarch to Brian, a non-mathematician, that it has to do with  'topology ... rubber sheet geometry' and 'the shapeof the Universe'. Brian doesn't follow very well: 'I thought it had somethingto do with killer bees'.  <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""The Last Mimzy""",,2007,MO,,0768212,1,"""A bit of sleep talk about octahedra and tesseracts, but no real maths."""
"""Last Year at Marienbad""","""L'Ann&eacute;e derni&egrave;re   &agrave; Marienbad""",1961,MO,last_year.html,0054632,3,"""Pretentious movie using the mathematical game of Nim in a pretentious and absurd manner. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Late Bloomers""",,1996,MO,,0116834,3,"""Excrutiating lesbian chick flick.  Miss Groshardt(sheesh!) is a maths teacher who has an affair with Mrs. Lumpkin (another sheesh!),the wife of a fellow maths teacher.Includes some algebra, a proof of Pythagoras's theorem, and the exclamation 'she'saardvarking with the Hypotenuse'."""
"""Life of Pi""",,2012,MO,,0454876,3,"""Piscine Patel is teased about his name. He remembers thousands of digits of pi, so that students will accept his nickname of Pi.A subtle blooper: the blackboard scene contains thousands of correct digits of Pi, but the expansion in the book being used to check the digits doesn't extend far enough."""
"""Life is Beautiful""","""La Vita &egrave; Bella""",1997,MO,,0118799,3,"""During WWII the local Nazis in an Italian town are having the following conversation at a formal dinner. The primary school principal: 'And I am not talking about Berlin, the countryside, 3rd grade. Listen to this one. Really, it's quite shocking. The problem: Supporting a lunatic costs the state 4 marks a day, supporting a cripple costs 4 1/2 marks, an epileptic 3 1/2 marks. Figuring the average is 4 marks a day and there are 300,000 of them, how much would the state save if these individuals were simply eliminated?' 'Completely unbelievable!' 'That is exactly how I reacted.' 'Completely unbelievable. I can't believe an elementary school child is expected to solve something like this. It's a difficult calculation, the proportions, the percentages, they need some algebra to solve these equations, right? That would be highschool material for us.' 'No, no, it's just multiplication, what did you say it was, 300,000 cripples?' 'Yes.' '300,000 times four. We'd be saving about 1,200,000 marks a day if we killed them all. It's easy.' 'Exactly, bravo, but you are an adult. In Germany 7-year-olds are given this problem to work out. The most amazing race indeed.'"""
"""Like Mike""",,2002,MO,,0308506,2,"""Calvin gets help with his geometry homework from the basketballer Tracy. Tracy paints huge triangles on his house, with the vertices labeled as Dennis Rodman and The Shaq and so on.  <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""Limitless""",,2011,MO,,1219289,1,"""A pretty silly movie, about a pill that unlocks the possibilities of the human intellect. A couple of one-liners about algorithms to win on the stock market, and math finally being fun and useful, to win at poker.</a>"""
"""Little Big League""",,1994,MO,,0110363,4,"""Contains a  hilarious  scene, where the Minnesota Twins baseball team is trying to solve their teenage manager's homework: If Joe can paint a house in 3 hours and Sam can paint it in 5 hours, how long does it take for them to do it together? <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Little Giant""",,1946,MO,,0038694,4,"""Abbott and Costello do their terrific 7 x 13 = 28 routine. Not quite as good as the original."""
"""Little Man Tate""",,1991,MO,little_man_tate.html,0102316,4,"""A movie featuring two mathematical prodigies. Lots of maths: maths competitions, building tensegrity icosahedra, etc."""
"""The Lost Angel""",,2004,MO,,0388209,1,"""A serial murderer leaves clues in the form of Babylonian cuneiform script. The plan is to kill 20 people to complete a satanic ritual. Right next to victim number four we see the numbers 4 and 16 in cuneiform script written in blood (4 done, 16 to go)."""
"""Lost Souls""",,2000,MO,lost_souls.html,0160484,2,"""Possessed man keeps writing numbers, the name of the anti-Christ in code."""
"""Love and Death""",,1975,MO,love_and_death.html,0073312,3,"""Woody Allen movie with a couple funny maths bits, e.g.  designing blintzes with geometry on a blackboard."""
"""Love Me if You Dare""","""Jeux d'Enfants""",2003,MO,,0364517,3,"""The 7 times multiplication tablesgets yelled out for no discernible reason. Also some discriminants, and somedirty maths talk: 'Your vector is defined by an origin, but above all by size ...'."""
"""Lucky Pierre""","""La Moutarde Me Monte Au Nez""",1974,MO,,0071863,3,"""Pierre Richard as a frazzled maths teacher, including some hilarious classroom slapstick: all in French, but it doesn't matter.  <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Ma and Pa Kettle Back on the Farm""",,1951,MO,,0043767,3,"""Ma and Pa Kettle's version of the famous Abbott and Costello routine. They show in three different ways that 5 x 14 = 25. Not as good as the Abbott and Costello versions. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Madame Curie""",,1943,MO,,0036126,2,"""Madame Curie asks her future husband a mathematical question about symmetries."""
"""Magic Town""",,1947,MO,magic_town.html,0039595,2,"""Somebody locates the ideal town for polling: its population thinks exactly like America as a whole."""
"""Magik and Rose""",,1999,MO,,0248164,3,"""A square dance caller and snails egg farmer also turns out to be a maths wiz, who knows everything about fractals and chaos theory."""
"""Malcolm X""",,1992,MO,malcolm.html,0104797,1,"""Malcolm X explains his name, using X as the mathematical symbol of the unknown."""
"""A Man Called Intrepid""",,1979,TV,the_man_called_intrepid.html,0078649,1,"""Two characters talk about the Enigma machine."""
"""The Man From Planet X""",,1951,MO,,0043778,2,"""Geometry is suggested as the way to communicate with an alien."""
"""The Manhattan Project""",,1986,MO,manhatten_projekt.html,0091472,2,"""A scientist and a juvenile bomb maker are trying to figure out how much time they have left to defuse a bomb."""
"""Man of the House""",,2005,MO,,0331933,1,"""Cheerleaders get into geomtric formation so that a girl on top of a bus can jump intotheir arms. When she hesitates, one of the cheerleaders yells out 'I'm a math major'."""
"""Manolito Gafotas""",,1999,MO,,0206117,2,"""Manolito fails a maths test for the first time and is comforted by his father: 'Cervantes, Einstein, Karl Marx, Jules Verne. All geinuses, but don't think they were good at maths.' 'What did their mothers say?' 'They understood in the end.' Later, Moanolito has to studyover the summer. Mostly his study seems to consist of him calculating how many hoursleft in the summer to study."""
"""The Man who Knew Infinity""",,2015,MO,,0787524,4,"""Humourless and messagey telling  of the story of the great Ramanujan and G. H. Hardy. The main mathematical thread of the movie centres on counting partitions. Of course, the 1729 taxi cab makes an appearance. Bertrand Russell and Littlewood are also prominent in the movie."""
"""The  Man Without a Face""",,1993,MO,,0107501,4,"""Mel Gibson as a scary maths teacher quizzes a boy on Pythagoras's Theorem, and teaches him a Euclidean theorem on how to find the centre of a circle: he goofs it!"""
"""Marius""",,1931,MO,,0022125,2,"""C&eacute;sar teaches Marius how to mix a picon-citron-curacao: one very small third of curacao, one third of citron, a large third of picon, and, finally, a really large third of water. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Marriage Today""",,1950,MO,,0384316,1,"""Phyllis does the maths in Chad's engineering work."""
"""The Marva Collins Story""",,1981,TV,,0082719,2,"""Primary kids covert Shylock's  ducats into gold into dollars. By contrast, apparently  in public schools the Global Theatre is thought to bea three-sided octagon."""
"""Matilda""",,1996,MO,,0117008,3,"""Little Matilda is a maths genius and has supernatural abilities. Some fun scenes."""
"""The  Matrix Revolutions""",,2003,MO,,0242653,3,"""Neo gets stuck in a train station,  which loops around &agrave; la Pacman."""
"""Meerabai Not Out""",,2008,MO,,1024852,2,"""Meera is a maths teacher and a cricket fanatic. So she teaches arithmetic with battingaverages: 'In the first four matches Dravid makes 36, 21, 34, 20 runs, so how many runs does he have to make in the next 4innings to average 75 runs?'. A student correctly answers 72.25 runs per innings."""
"""Meet Dave""",,2008,MO,,0765476,3,"""Eddie Murphy is an alien who finds  himself as a substitute teacher in front of a primary class. He decides to play safe and teach them something simple: the unified field theory."""
"""Mean Girls""",,2004,MO,mean_girls.html,0377092,4,"""A great movie for maths spotting on blackboards. The main character (Lindsay Lohan) is very good at maths. Encouraged by her teacher (Tina Fey) and against the advice of her friends ('social suicide'), she joins the school maths club and takes part in a maths competition. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clips on Oliver Knill's page.</a>"""
"""Mercury Rising""",,1998,MO,,0120749,1,"""features an autistic boy who is a wiz at cracking codes."""
"""Merry Andrew""",,1958,MO,merry_andrew.html,0051924,5,"""Danny Kaye plays a maths teacher who teaches Pythagoras's Theorem by singing and dancing. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Micmacs""",,2009,MO,,1149361,2,"""A weird band of characters includes a woman known as Calculette. She does mentalcalculations, including projectile motion for a human cannonball."""
"""Mind Hunters""",,2004,MO,,0297284,2,"""A serial killer has written the number 582997924 over and over again in blood. One  FBI member tries to decode it and another member reacts: 'It's a number! It's a fucking number! They're all just fucking numbers!' It turns out that the digits cycledto 299792458 refersto the speed of light."""
"""Mindwalk""",,1990,MO,,0100151,2,"""Incredibly tedious movie, with some philomathematical talk about  understanding the Universe. Very brief references to Descartes, Kepler, Newton and Pythagoras."""
"""The Mirror has Two Faces""",,Le Miroir &agrave; Deux Faces,MO,mirror_old.html,0051933,2,"""Teacher asks: What is the smallest number with three digits? The student's answer of 000 is declared incorrect."""
"""The Mirror has Two Faces""",,1996,MO,,0117057,5,"""A romantic comedy about a  maths professor who is dragged out of his shell.Tons of maths."""
"""Miss Congeniality 2""",,2005,MO,,0385307,1,"""In one classroom scene there is a blackboard withmultiplication problems."""
"""Mission Impossible III""",,2006,MO,,0317919,1,"""Tom Cruise does a little circular geometry,to plan his swing from one building to another <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Moebius""",,1996,MO,moebius.html,0117069,3,"""A subway train goes missing in the subway network of Buenos Aires. A topologist is called in to investigate. He concludes that the new section is acting like a M&ouml;bius band (whatever that means)."""
"""Momo Alla Conquista Del Tempo""",,2001,MO,,0299040,2,"""Fun arithmetic scenes, some with shaving cream."""
"""Monty Python and the Holy Grail""",,1975,MO,holy_grail.html,0071853,3,"""Very strange logic is used to convict a woman of witchcraft. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Monty Python Live at the Hollywood Bowl""",,1982,MO,,0084352,3,"""While competing in the Germany vs. Greece football match, Archimedes has his Eureka moment: kick the ball.His team scores against the German goalkeeper: Leibniz. Also, the Pythons argue over what an argument is, and 'Ren&eacute;Descartes is a drunken fart' gets a mention in the Australian Philosphers' Song."""
"""Morons from Outer Space""",,1985,MO,,0089622,2,"""A mathematician writes an incomplete equation to test one of the moron's mathematicalabilities. 'Now, Can you complete that?' ' ... Can you?' 'Of course.' 'Then whatare you asking me for?'"""
"""Mortel Transfert""",,2001,MO,,0239670,1,"""A frazzled maths teacher appears in one scene."""
"""Mozart and the Whale""",,2005,MO,,0392465,5,"""A charming romantic movie about two people with Asperger's syndrome, one with strong mathematical abilities. Some touching and funny scenes about mathematical literalism and primes, and factoring license plates."""
"""Mr. Holland's Opus""",,1995,MO,,0113862,1,"""'If I'm forced to choose between Mozart, and reading and writing and long division,I choose long division.' <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Mr. Koumal Invents a Robot""",,????,MO,,,2,"""A short, amusing   cartoon. Mr. Koumal's design involves a lot of work with protractor, ruler, &pi;, arithmetic and so on."""
"""Mr. Magorium's Wonder Emporium""",,2007,MO,,0457419,3,"""Dustin Hoffman asMr.  Magorium quizzes his pontential accountant (whom he dubs 'Mutant'): 'Name the Fibonacci series from its 11th to its 16th integer.' 'Uh, 89, 144, 233, 377, 610?' 'Perfect!The number 4, do we really need it?'. 'If you like squares, you do.' 'Oh, I like squares!' Of course, Mutant actually only wentup to the 15th Fibonacci 'integer'."""
"""Mr. Wacky""","""Saeng, Nalseonsaeng""",2006,MO,,0821517,2,"""The lead character is blackmailed by his grandfather into being a maths teacher.One frenzied probability lecture, and a maths book gets torn up and scattered tothe winds, but no real maths."""
"""M&uuml;nchhausen""",,1943,MO,,0036191,1,"""D&uuml;rer's magic square appears in the background in one of the scenes."""
"""Murder is Easy""",,1982,TV,,0082779,2,"""A mathematician helps solve a murder."""
"""The Music of Chance""",,1993,MO,,0107623,2,"""Two guys win the lottery by choosing primes. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""My Little Chickadee""",,1940,MO,my_little_chickadee.html,0032828,2,"""Very funny 1-liner from W. C. Fields about whether poker is a game a chance: 'Not the way I play it, no'. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""My Boss, My Hero""",,2001,MO,,0301214,1,"""A gangster goes back to high school to get his diploma. A couple quick bits of maths."""
"""My Little Pony: The Movie""",,2017,MO,,4131800,2,"""An impressive blackboard, with the golden ratio, angles of reflection and some cute vector operators."""
"""My Night With Maud""",,Ma Nuit Chez Maud,MO,ma_nuit.html,0064612,3,"""Three people discussing (amongst other things)  probability and Pascal's wager."""
"""My Stepmother is an Alien""",,1988,MO,,0095687,2,"""The alien stepmother (Kim Bassinger) says that she does maths on vacation, and graphs for fun."""
"""My Teacher's Wife""",,1995,MO,,0112444,3,"""The teacher in question is a maths teacher, and his sexy wife (Tia Carrere) has a PhD in maths."""
"""&Ntilde;a Noniep""",,2009,MO,,1399621,2,"""A zero-budget movie from the Marshall Islands. Liki is a very bright student,who dreams of going to a good school in Arkansas(!), but is cast under an evilspell. His abilities and the loss of it are illustrated by his doing mathsproblems (mostly division)."""
"""The Naked Gun""",,1988,MO,,0095705,2,"""'What about Nordberg?' 'He's alive, Frank, though he's on life support. Doctors say he's got a 50-50 chance of living. But there's only a 10% chance of that.'"""
"""Nancy Drew""",,2007,MO,,0479500,2,"""A prim Nancy Drew confidently recites the quadratic formula."""
"""National Lampoon's Senior Trip""",,1995,MO,,0113936,1,"""A couple stray lines about maths nerds."""
"""The Naughty Nineties""",,1945,MO,,0037939,3,"""Very funny routine, with  Abbott guiding Costello in roulette. 'I'll tell you what you do, you play the same numbers I play.I'll play number twenty and you play twenty too.' 'How can you do that?''Why not?' 'We're gonna play the same numbers?' Same numbers?''You want me to play twenty-two?' 'No, no. I'm gonna play twenty, and you playtwenty-two'. And so on."""
